id,symbol,name,first_day,last_day,expected_days,have_any,missing_any,have_price,missing_price,have_volume,missing_volume,have_mcap,missing_mcap,updated_at
instadapp,FLUID,Fluid,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
ethereum,ETH,Ethereum,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
jito-staked-sol,JITOSOL,Jito Staked SOL,2022-11-01,2025-09-25,1060,1060,0,1060,0,1060,0,1060,0,2025-09-25T11:44:27.907202+00:00
jito-governance-token,JTO,Jito,2023-12-07,2025-09-25,659,659,0,659,0,659,0,659,0,2025-09-25T11:44:27.907202+00:00
coredaoorg,CORE,Core,2024-09-10,2025-09-25,381,381,0,381,0,381,0,381,0,2025-09-25T11:44:27.907202+00:00
jupiter-staked-sol,JUPSOL,Jupiter Staked SOL,2024-04-30,2025-09-25,514,514,0,514,0,514,0,514,0,2025-09-25T11:44:27.907202+00:00
saros-finance,SAROS,Saros,2024-01-19,2025-09-25,616,616,0,616,0,616,0,616,0,2025-09-25T11:44:27.907202+00:00
plasma,XPL,Plasma,2025-09-25,2025-09-25,1,1,0,1,0,1,0,1,0,2025-09-25T11:44:27.907202+00:00
ether-fi-staked-eth,EETH,ether.fi Staked ETH,2024-02-07,2025-09-25,597,597,0,597,0,597,0,597,0,2025-09-25T11:44:27.907202+00:00
near,NEAR,NEAR Protocol,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
arbitrum-bridged-wbtc-arbitrum-one,WBTC,Arbitrum Bridged WBTC (Arbitrum One),2024-08-04,2025-09-25,418,418,0,418,0,418,0,418,0,2025-09-25T11:44:27.907202+00:00
usds,USDS,USDS,2024-09-24,2025-09-25,367,367,0,367,0,367,0,367,0,2025-09-25T11:44:27.907202+00:00
defactor,FACTR,Defactor,2024-09-26,2025-09-25,365,365,0,365,0,365,0,365,0,2025-09-25T11:44:27.907202+00:00
based-brett,BRETT,Brett,2024-09-10,2025-09-25,381,381,0,381,0,381,0,381,0,2025-09-25T11:44:27.907202+00:00
