ID,Symbol,Category
bitcoin,BTC,Layer 1s
ethereum,ETH,Layer 1s
ripple,XRP,Payments
mantle-bridged-usdt-mantle,USDT,Stablecoins
binancecoin,BNB,Exchange Tokens
solana,SOL,Layer 1s
binance-bridged-usdc-bnb-smart-chain,USDC,Stablecoins
staked-ether,STETH,Staked or Wrapped
dogecoin,DOGE,Memecoins
cardano,ADA,Layer 1s
tron,TRX,Payments
wrapped-steth,WSTETH,Staked or Wrapped
polygon-pos-bridged-weth-polygon-pos,WETH,Decentralized Finance
hyperliquid,HYPE,Decentralized Finance
arbitrum-bridged-wbtc-arbitrum-one,WBTC,Decentralized Finance
chainlink,LINK,"Data, Oracles & Storage"
wrapped-eeth,WEETH,Staked or Wrapped
sui,SUI,Layer 1s
bitcoin-cash,BCH,Payments
stellar,XLM,Payments
okb,OKB,Exchange Tokens
avalanche-2,AVAX,Layer 1s
hedera-hashgraph,HBAR,Layer 1s
leo-token,LEO,Exchange Tokens
litecoin,LTC,Payments
bitcoin-avalanche-bridged-btc-b,BTC.B,Decentralized Finance
the-open-network,TON,Layer 1s
usds,USDS,Stablecoins
shiba-inu,SHIB,Memecoins
crypto-com-chain,CRO,Exchange Tokens
whitebit,WBT,Exchange Tokens
polkadot,DOT,Layer 1s
bitget-token,BGB,Exchange Tokens
uniswap,UNI,Decentralized Finance
ethena-usde,USDE,Stablecoins
coinbase-wrapped-btc,CBBTC,Staked or Wrapped
monero,XMR,Payments
ethena-staked-usde,SUSDE,Staked or Wrapped
ethena,ENA,Decentralized Finance
aave,AAVE,Decentralized Finance
world-liberty-financial,WLFI,Decentralized Finance
pepe,PEPE,Memecoins
mantle,MNT,Layer 2s & Scaling
dai,DAI,Stablecoins
ethereum-classic,ETC,Decentralized Finance
bittensor,TAO,"Data, Oracles & Storage"
aptos,APT,Layer 1s
ondo-finance,ONDO,Tokenization
susds,SUSDS,Decentralized Finance
near,NEAR,Layer 1s
memecore,M,Memecoins
pi-network,PI,Decentralized Finance
polygon-pos-bridged-weth-polygon-pos,WETH,Decentralized Finance
arbitrum,ARB,Layer 2s & Scaling
internet-computer,ICP,Layer 1s
jito-staked-sol,JITOSOL,Staked or Wrapped
polygon-ecosystem-token,POL,Decentralized Finance
story-2,IP,Decentralized Finance
kaspa,KAS,Payments
rocket-pool-eth,RETH,Staked or Wrapped
