ID,Symbol,Category
bitcoin,BTC,Layer 1s
ethereum,ETH,Layer 1s
tether,USDT,Stablecoins
binancecoin,BNB,Exchange Tokens
ripple,XRP,Payments & Money Networks
solana,SOL,Layer 1s
usd-coin,USDC,Stablecoins
tron,TRX,Payments & Money Networks
staked-ether,STETH,Liquid Staking & Restaking
dogecoin,DOGE,Memecoins
figure-heloc,FIGR_HELOC,RWA & Tokenization
cardano,ADA,Layer 1s
wrapped-steth,WSTETH,Liquid Staking & Restaking
whitebit,WBT,Exchange Tokens
wrapped-beacon-eth,WBETH,Liquid Staking & Restaking
bitcoin-cash,BCH,Payments & Money Networks
wrapped-bitcoin,WBTC,Wrapped & Bridged Assets
monero,XMR,Privacy Coins
wrapped-eeth,WEETH,Liquid Staking & Restaking
chainlink,LINK,"Oracles, Data & AI"
usds,USDS,Stablecoins
binance-bridged-usdt-bnb-smart-chain,BSC-USD,Wrapped & Bridged Assets
leo-token,LEO,Exchange Tokens
weth,WETH,Wrapped & Bridged Assets
stellar,XLM,Payments & Money Networks
coinbase-wrapped-btc,CBBTC,Wrapped & Bridged Assets
sui,SUI,Layer 1s
zcash,ZEC,Privacy Coins
ethena-usde,USDE,Stablecoins
hyperliquid,HYPE,"DeFi (DEX, Lending, Perps)"
avalanche-2,AVAX,Layer 1s
litecoin,LTC,Payments & Money Networks
hedera-hashgraph,HBAR,Layer 1s
shiba-inu,SHIB,Memecoins
usdt0,USDT0,Stablecoins
world-liberty-financial,WLFI,"DeFi (DEX, Lending, Perps)"
dai,DAI,Stablecoins
canton-network,CC,RWA & Tokenization
susds,SUSDS,Yield & Vaults
the-open-network,TON,Layer 1s
crypto-com-chain,CRO,Exchange Tokens
ethena-staked-usde,SUSDE,Yield & Vaults
paypal-usd,PYUSD,Stablecoins
polkadot,DOT,Layer 1s
usd1-wlfi,USD1,Stablecoins
uniswap,UNI,"DeFi (DEX, Lending, Perps)"
rain,RAIN,Other
mantle,MNT,Layer 2s & Scaling
memecore,M,Memecoins
bitget-token,BGB,Exchange Tokens
aave,AAVE,"DeFi (DEX, Lending, Perps)"
bittensor,TAO,"Oracles, Data & AI"
pepe,PEPE,Memecoins
okb,OKB,Exchange Tokens
tether-gold,XAUT,RWA & Tokenization
near,NEAR,Layer 1s
internet-computer,ICP,Layer 1s
falcon-finance,USDF,Stablecoins
